# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
        44       8.067595      23.809952
        45       2.672528      28.908562
        46       5.422694      26.219041
        47       9.308916      22.567589
# Cycle: 14, status: ACC, move: ('sh', 0.42127168567600876, 24, 26)
#     Time      Potential        Kinetic
         0     -11.406725      36.089470
         1     -13.393447      38.035090
         2     -12.346703      37.097241
         3     -13.985055      38.765948
         4     -16.433671      41.141511
         5     -14.622772      39.395599
         6     -15.100959      39.948819
         7     -12.323796      37.135099
         8     -12.225242      37.051691
         9      -7.277445      32.229827
        10      -6.650645      31.594591
        11      -5.156134      30.036660
        12      -3.308357      28.264715
        13      -0.503439      25.498553
        14      -1.689421      26.604385
        15      -1.032038      25.970499
        16      -0.559298      25.555517
        17      -2.603437      27.508435
        18      -4.313860      29.131002
        19      -4.633679      29.510098
        20      -4.007086      28.863767
        21      -6.340732      31.104353
        22      -3.382845      28.192295
        23      -4.083885      28.905041
        24      -2.402302      27.130154
        25      -1.850153      26.570045
        26       2.365925      22.449076
        27       1.836726      22.945995
        28       2.630742      22.119664
        29       2.740700      22.102942
        30       2.950609      21.921200
        31      -1.345850      26.136312
        32      -0.326167      25.159035
        33      -0.382867      25.303850
        34       0.073450      24.792064
        35      -1.027260      25.843791
        36       2.714524      22.192167
        37       3.139957      21.780353
        38       3.005916      21.823585
        39       3.742663      21.109471
        40       5.039968      19.861233
        41       4.037715      20.770706
        42       2.833679      21.932494
        43       4.754250      20.103798
        44       4.798464      20.053413
        45       3.487331      21.270131
        46       3.595075      21.203990
        47       5.926588      18.915722
        48       3.643961      21.126744
        49       5.065617      19.734748
        50       6.061708      18.841344
        51       6.342503      18.524610
        52       3.776432      21.028798
        53       5.659475      19.232277
# Cycle: 15, status: BWI, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0       5.659475      19.232277
         1       3.776432      21.028798
         2       6.342503      18.524610
         3       6.061708      18.841344
         4       5.065617      19.734748
         5       3.643961      21.126744
         6       5.926588      18.915722
         7       3.595075      21.203990
         8       3.487331      21.270131
         9       4.798464      20.053413
        10       4.754250      20.103798
        11       2.833679      21.932494
        12       4.037715      20.770706
        13       5.039968      19.861233
        14       3.742663      21.109471
        15       3.005916      21.823585
        16       3.139957      21.780353
        17       2.714524      22.192167
        18      -1.027260      25.843791
        19       0.073450      24.792064
        20      -0.382867      25.303850
        21      -0.326167      25.159035
        22      -1.345850      26.136312
        23       2.950609      21.921200
        24       2.740700      22.102942
        25       2.630742      22.119664
        26       1.836726      22.945995
        27       2.365925      22.449076
        28      -1.850153      26.570045
        29      -2.402302      27.130154
        30      -4.083885      28.905041
        31      -3.382845      28.192295
        32      -6.340732      31.104353
        33      -4.007086      28.863767
        34      -4.633679      29.510098
        35      -4.313860      29.131002
        36      -2.603437      27.508435
        37      -0.559298      25.555517
        38      -1.032038      25.970499
        39      -1.689421      26.604385
        40      -0.503439      25.498553
        41      -3.308357      28.264715
        42      -5.156134      30.036660
        43      -6.650645      31.594591
        44      -7.277445      32.229827
        45     -12.225242      37.051691
        46     -12.323796      37.135099
        47     -15.100959      39.948819
        48     -14.622772      39.395599
        49     -16.433671      41.141511
        50     -13.985055      38.765948
        51     -12.346703      37.097241
        52     -13.393447      38.035090
        53     -11.406725      36.089470
# Cycle: 16, status: BTL, move: ('sh', 0.39313090833717707, 18, 0)
#     Time      Potential        Kinetic
         0      -4.313860      22.449076
         1      -2.846904      21.066011
         2      -2.629703      20.867563
         3      -5.910543      24.066447
         4      -3.558805      21.805568
         5      -3.943191      22.270467
         6      -4.522334      22.767795
         7      -5.752253      24.013176
         8      -1.157060      19.588722
         9      -1.822967      20.270846
        10      -1.230016      19.626615
        11       0.795127      17.743321
        12       4.836677      13.810588
        13       3.117964      15.470725
        14       5.340639      13.298605
        15       8.026607      10.731357
        16       6.940462      11.727546
        17       5.468329      13.112603
        18       8.108793      10.590999
        19       8.569079      10.148605
        20       5.118129      13.439674
        21       4.248566      14.267701
        22       3.482357      15.029367
        23      -0.128399      18.485498
        24      -2.295058      20.600883
        25      -0.286417      18.699808
        26      -1.465052      19.820901
        27      -3.838959      22.015465
        28      -3.361457      21.540060
        29      -1.441058      19.648904
        30      -3.153919      21.278410
        31      -1.404303      19.576972
        32       0.798797      17.492247
        33       0.206071      18.023266
        34      -1.660589      19.804390
        35       0.291914      17.964734
        36       0.377973      17.934826
        37      -1.103205      19.370608
        38      -0.873926      19.230869
        39       0.896915      17.565646
        40      -0.722107      19.123744
        41      -1.348449      19.729399
        42       1.748233      16.760756
        43       2.150649      16.371611
        44       1.505683      16.947184
        45       3.041123      15.485940
        46       4.540372      14.026953
        47       1.672987      16.778892
        48       1.879930      16.553468
        49       2.475933      16.061743
        50       1.273467      17.226710
        51      -1.759969      20.174932
        52      -1.265748      19.739900
        53      -2.706757      21.170437
        54      -3.964102      22.314908
        55      -3.643757      22.013743
        56      -0.441774      18.904950
# Cycle: 17, status: NCR, move: ('sh', 0.3783697725145068, 14, 32)
#     Time      Potential        Kinetic
         0       1.131092      19.594651
         1       1.026159      19.696359
         2       0.855051      19.879529
         3      -1.102607      21.859164
         4      -4.199782      24.934235
         5      -6.920986      27.641739
         6      -7.899162      28.626621
         7      -8.544818      29.258622
         8      -5.711777      26.404436
         9      -4.060308      24.741117
        10      -1.774246      22.452918
        11      -2.927694      23.573593
        12      -3.549497      24.175980
        13      -5.095719      25.728078
        14      -6.216539      26.818510
        15      -8.278501      28.839620
        16      -9.036555      29.565492
        17     -10.219839      30.728237
        18     -11.482640      31.984684
        19     -11.630115      32.132780
        20     -10.703700      31.228574
        21     -10.255887      30.765865
        22      -9.503253      30.005734
        23      -7.738823      28.254407
        24      -7.505047      28.051047
        25      -6.474078      27.053521
        26      -6.408401      27.026498
        27      -5.259833      25.907174
        28      -5.484829      26.145744
        29      -3.547109      24.229064
        30      -2.833909      23.553098
        31      -1.752367      22.494317
        32      -1.689421      22.449076
        33      -2.032029      22.801837
        34      -2.798967      23.559828
        35      -3.566154      24.311257
        36      -4.724840      25.453716
        37      -5.556503      26.269795
        38      -6.053150      26.746503
        39      -7.165841      27.845096
        40      -7.538608      28.194660
        41      -7.763715      28.389743
        42      -7.169611      27.772302
        43      -6.155558      26.751504
        44      -4.392916      24.973390
        45      -2.902004      23.489726
        46      -1.757996      22.352861
        47      -1.764295      22.361633
        48      -1.286608      21.894050
        49      -3.525361      24.149859
        50      -3.685193      24.328006
        51      -6.654601      27.306655
        52      -7.548243      28.220807
        53      -8.504943      29.191148
        54      -8.224812      28.918461
        55      -9.435129      30.130378
        56      -7.129078      27.853707
        57     -10.658732      31.371790
        58      -9.334901      30.046234
        59     -12.351442      33.044912
        60     -11.086060      31.774967
        61     -11.099044      31.760475
        62      -7.174497      27.833123
        63      -4.254560      24.912898
        64      -3.517843      24.155728
        65      -5.249091      25.861407
        66     -10.785973      31.376366
        67     -12.343141      32.933784
# Cycle: 18, status: NCR, move: ('s-', 0.38785557773310886, 14, 81)
#     Time      Potential        Kinetic
         0      -3.624497      18.510386
         1      -1.984542      16.845204
         2      -2.980451      17.683453
         3      -3.215136      17.856939
         4      -2.760879      17.393822
         5      -5.201004      19.687668
         6      -6.622935      21.000671
         7      -4.589032      18.994569
         8      -4.539760      18.860841
         9      -6.056760      20.205434
        10      -4.962250      19.101260
        11      -3.615342      17.787733
        12      -6.190811      20.252446
        13      -7.009422      21.047160
        14      -5.543578      19.684631
        15      -6.535030      20.671192
        16      -8.141783      22.234336
        17      -5.615419      19.827077
        18      -5.140855      19.452686
        19      -4.665140      18.958003
        20      -3.857268      18.237436
        21      -0.492997      15.040748
        22      -0.151814      14.708726
        23      -0.488703      15.021920
        24       2.025677      12.644117
        25       4.808736       9.969871
        26       3.829530      10.929966
        27       5.129895       9.686198
        28       6.609907       8.279166
        29       4.971307       9.838661
        30       4.034236      10.730031
        31       6.295659       8.578042
        32       6.666092       8.219428
        33       4.306685      10.460132
        34       4.353481      10.385535
        35       3.750682      10.959418
        36       1.298680      13.270894
        37       0.007540      14.512779
        38       1.664843      12.919507
        39       0.030853      14.457115
        40      -2.715111      17.023458
        41      -3.193253      17.447039
        42      -2.960569      17.164678
        43      -4.942590      19.033811
        44      -3.367241      17.475102
        45      -0.956520      15.123015
        46      -1.469396      15.532195
        47      -1.911946      15.886352
        48       0.714296      13.340791
        49       1.894631      12.203018
        50       1.304192      12.772554
        51       3.071799      11.117402
        52       5.213238       9.118477
        53       4.566764       9.788156
        54       4.770763       9.666901
        55       6.810862       7.807747
        56       6.066882       8.599445
        57       3.977389      10.673312
        58       4.754834      10.024527
        59       6.268748       8.647954
        60       4.501925      10.410088
        61       4.402335      10.529221
        62       5.065855       9.912532
        63       3.475100      11.417187
        64       2.302737      12.516851
        65       4.698886      10.193189
        66       5.179600       9.710059
        67       3.508274      11.231808
        68       2.822728      11.824954
        69       2.792987      11.801673
        70       0.835405      13.619654
        71      -0.122758      14.501669
        72       1.156279      13.249096
        73      -0.086967      14.399796
        74      -2.828991      16.964808
        75      -3.584294      17.675793
        76      -3.422151      17.516101
        77      -5.800161      19.828601
        78      -5.975349      20.019978
        79      -5.190483      19.314949
        80      -6.804894      20.896313
        81      -8.395614      22.449076
        82      -6.692857      20.861713
        83      -6.970027      21.232851
        84      -6.819732      21.090063
        85      -6.520349      20.874611
        86      -4.273607      18.768457
        87      -3.436733      17.969396
        88      -2.945444      17.513877
        89      -0.296538      14.997582
        90       1.189631      13.583203
        91       0.184885      14.568872
        92       0.628124      14.181686
        93       0.513983      14.356474
        94      -1.462743      16.276116
        95      -2.605663      17.390947
        96      -0.997341      15.845245
        97      -1.328910      16.135205
        98      -2.928210      17.622839
        99      -3.109613      17.786553
# Cycle: 19, status: NCR, move: ('s-', 0.38785557773310886, 14, 81)
#     Time      Potential        Kinetic
         0      -3.624497      18.510386
         1      -1.984542      16.845204
         2      -2.980451      17.683453
         3      -3.215136      17.856939
         4      -2.760879      17.393822
         5      -5.201004      19.687668
         6      -6.622935      21.000671
         7      -4.589032      18.994569
         8      -4.539760      18.860841
         9      -6.056760      20.205434
        10      -4.962250      19.101260
        11      -3.615342      17.787733
        12      -6.190811      20.252446
        13      -7.009422      21.047160
        14      -5.543578      19.684631
        15      -6.535030      20.671192
        16      -8.141783      22.234336
        17      -5.615419      19.827077
        18      -5.140855      19.452686
        19      -4.665140      18.958003
        20      -3.857268      18.237436
        21      -0.492997      15.040748
        22      -0.151814      14.708726
        23      -0.488703      15.021920
        24       2.025677      12.644117
        25       4.808736       9.969871
        26       3.829530      10.929966
        27       5.129895       9.686198
        28       6.609907       8.279166
        29       4.971307       9.838661
        30       4.034236      10.730031
        31       6.295659       8.578042
        32       6.666092       8.219428
        33       4.306685      10.460132
        34       4.353481      10.385535
        35       3.750682      10.959418
        36       1.298680      13.270894
        37       0.007540      14.512779
        38       1.664843      12.919507
        39       0.030853      14.457115
        40      -2.715111      17.023458
        41      -3.193253      17.447039
        42      -2.960569      17.164678
        43      -4.942590      19.033811
        44      -3.367241      17.475102
        45      -0.956520      15.123015
        46      -1.469396      15.532195
        47      -1.911946      15.886352
        48       0.714296      13.340791
        49       1.894631      12.203018
        50       1.304192      12.772554
        51       3.071799      11.117402
        52       5.213238       9.118477
        53       4.566764       9.788156
        54       4.770763       9.666901
        55       6.810862       7.807747
        56       6.066882       8.599445
        57       3.977389      10.673312
        58       4.754834      10.024527
        59       6.268748       8.647954
        60       4.501925      10.410088
        61       4.402335      10.529221
        62       5.065855       9.912532
        63       3.475100      11.417187
        64       2.302737      12.516851
        65       4.698886      10.193189
        66       5.179600       9.710059
        67       3.508274      11.231808
        68       2.822728      11.824954
        69       2.792987      11.801673
        70       0.835405      13.619654
        71      -0.122758      14.501669
        72       1.156279      13.249096
        73      -0.086967      14.399796
        74      -2.828991      16.964808
        75      -3.584294      17.675793
        76      -3.422151      17.516101
