# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time      Potential        Kinetic
        20       6.494975       6.808509
        21       1.608263      11.474140
        22       5.852757       7.445435
        23       9.555443       3.928030
        24       4.329829       8.893124
        25       3.343501       9.807283
        26       7.048989       6.258889
        27       3.188580       9.883658
        28      -2.380996      15.167205
        29       1.739042      11.209630
        30       2.402009      10.540999
        31      -4.531880      17.087867
        32      -5.372814      17.845602
        33      -1.764910      14.376247
        34      -6.556334      18.924300
        35     -10.272058      22.449076
        36      -5.840650      18.251776
        37      -5.190617      17.636074
        38     -10.699283      22.924780
        39      -7.313983      19.738266
        40      -2.346512      15.078745
        41      -6.470057      19.049861
        42      -8.263442      20.814737
        43      -2.096577      15.028327
        44      -2.031397      15.063103
        45      -6.645861      19.561811
        46      -3.171490      16.368690
        47      -0.529293      13.949443
        48      -7.143956      20.329261
        49      -9.363513      22.527385
# Cycle: 10, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0      -9.363513      22.527385
         1      -7.143956      20.329261
         2      -0.529293      13.949443
         3      -3.171490      16.368690
         4      -6.645861      19.561811
         5      -2.031397      15.063103
         6      -2.096577      15.028327
         7      -8.263442      20.814737
         8      -6.470057      19.049861
         9      -2.346512      15.078745
        10      -7.313983      19.738266
        11     -10.699283      22.924780
        12      -5.190617      17.636074
        13      -5.840650      18.251776
        14     -10.272058      22.449076
        15      -6.556334      18.924300
        16      -1.764910      14.376247
        17      -5.372814      17.845602
        18      -4.531880      17.087867
        19       2.402009      10.540999
        20       1.739042      11.209630
        21      -2.380996      15.167205
        22       3.188580       9.883658
        23       7.048989       6.258889
        24       3.343501       9.807283
        25       4.329829       8.893124
        26       9.555443       3.928030
        27       5.852757       7.445435
        28       1.608263      11.474140
        29       6.494975       6.808509
        30       7.099043       6.220833
        31       0.708500      12.273029
        32       1.070360      11.906514
        33       3.621113       9.467858
        34      -2.239307      15.025486
        35      -5.782129      18.387349
        36      -1.473860      14.290949
        37      -2.976762      15.699628
        38      -9.280740      21.702279
        39      -6.589746      19.156029
        40      -3.448322      16.172557
        41      -9.296615      21.760619
        42     -10.358205      22.788815
        43      -5.484203      18.186675
        44      -8.105569      20.723445
        45     -12.064521      24.561635
        46      -7.130647      19.936696
        47      -5.815686      18.749122
        48     -12.900051      25.555292
        49     -13.496732      26.193736
# Cycle: 11, status: FTL, move: ('sh', 0.3807597451195464, 25, 21)
#     Time      Potential        Kinetic
         0      -2.858102      29.656095
         1      -6.650474      33.399463
         2      -4.326029      31.242175
         3      -0.413575      27.513214
         4      -2.425689      29.358282
         5      -1.226839      28.041559
         6       2.987494      23.936695
         7       4.256598      22.575008
         8       1.667137      24.969605
         9       4.204021      22.481094
        10       5.830592      20.852165
        11       1.716040      24.683046
        12       0.820802      25.461018
        13       4.386368      21.994162
        14       3.300078      22.998469
        15       1.347460      24.850564
        16       3.994744      22.359250
        17       4.017446      22.383148
        18      -0.260712      26.537965
        19       0.920111      25.505832
        20       5.282928      21.448756
        21       4.329829      22.449076
        22       4.518197      22.315740
        23       8.345862      18.706980
        24       8.798758      18.278178
        25       6.651875      20.352818
        26      11.559950      15.646498
        27      13.663553      13.687065
        28      11.485698      15.679166
        29       9.252988      17.817493
        30      11.911123      15.232240
        31       8.335213      18.620859
        32       4.661121      22.011220
        33       3.953255      22.681392
        34       5.622872      20.916333
        35      -0.128248      26.352708
        36       1.063309      25.085787
        37       3.808191      22.399175
        38       2.221217      23.803130
        39       0.145917      25.726353
        40       4.577242      21.466687
        41       6.153436      19.973712
        42       3.510549      22.520886
        43       5.372691      20.810299
        44       8.982665      17.468413
        45       7.880866      18.640694
        46       7.655082      19.011397
        47      11.589004      15.400008
        48      10.312170      16.720981
        49       7.136954      19.784213
        50       9.599144      17.495601
# Cycle: 12, status: NCR, move: ('s+', 0.4524238565534298, 25, 33)
#     Time      Potential        Kinetic
         0      -1.141832      33.006191
         1      -2.506096      34.339463
         2       3.172250      28.960699
         3       0.577702      31.548699
         4      -4.456470      36.382440
         5      -2.616745      34.672759
         6       6.070237      26.135177
         7       4.659822      27.298202
         8       7.289507      24.570020
         9      12.957840      19.024713
        10       8.154877      23.633397
        11       2.044829      29.467765
        12       3.248175      28.449485
        13       3.764569      28.036157
        14      -3.999209      35.487728
        15      -5.787539      37.085108
        16      -4.771488      36.133066
        17      -6.661596      37.859732
        18      -8.101525      39.201064
        19      -0.085591      31.496879
        20       0.292021      31.129733
        21      -3.155296      34.295272
        22      -0.085321      31.264795
        23       3.031724      28.342386
        24       2.365925      28.892144
        25       2.680653      28.635956
        26       9.210563      22.457528
        27       9.381700      22.286668
        28       5.829414      25.686619
        29       8.181287      23.564965
        30      13.300618      18.656471
        31       5.596776      26.182419
        32       7.121373      24.703984
        33       9.633564      22.449076
        34       9.208301      22.793083
        35       2.848586      28.989581
        36       9.641591      22.390637
        37       8.253237      23.846647
        38       5.715635      26.117797
        39       3.099727      28.727300
        40      11.209649      20.844769
        41       5.835185      26.094262
        42       5.118413      26.632518
        43       7.606621      24.289558
        44       8.067595      23.809952
        45       2.672528      28.908562
        46       5.422694      26.219041
        47       9.308916      22.567589
# Cycle: 13, status: NCR, move: ('s-', 0, 0, 0)
#     Time      Potential        Kinetic
         0      -6.295355      20.545333
         1      -6.977466      20.952464
         2      -7.728338      21.513565
         3      -2.212633      16.128446
         4      -6.694496      20.470697
         5     -13.122415      26.594341
         6     -12.736971      26.338916
         7      -8.684807      22.423920
         8     -13.118350      26.572349
         9     -11.693527      25.101820
        10      -6.051977      19.701908
        11      -6.576132      20.185321
        12     -11.544215      24.980328
        13      -8.879125      22.546645
        14      -5.591769      19.438077
        15     -10.938886      24.624613
        16      -7.976813      21.761228
        17      -1.975302      16.077499
        18      -2.696011      16.740540
        19      -6.182101      20.117357
        20       0.854115      13.357208
        21       1.020804      13.231995
        22      -3.097568      17.088256
        23      -1.357067      15.436076
        24      -0.259152      14.532498
        25      -6.920435      20.999012
# Cycle: 14, status: NCR, move: ('sh', 0.3121938320056572, 2, 6)
#     Time      Potential        Kinetic
         0       1.890867      20.248629
         1       0.448923      21.610447
         2       4.379951      17.943853
         3       3.164965      19.092277
         4      -4.983138      26.950843
         5      -1.370105      23.368556
         6      -0.529293      22.449076
         7      -6.017655      27.518903
         8      -5.830417      27.219995
         9       0.713433      20.881557
        10      -1.073084      22.480138
        11      -5.537195      26.693000
        12      -0.698293      22.017724
        13      -0.519695      21.856686
        14      -6.010082      27.097961
        15      -4.688030      25.966348
        16       1.161887      20.459503
        17      -5.524792      27.016733
        18      -8.880318      30.294594
        19      -7.543565      29.184151
# Cycle: 15, status: ACC, move: ('tr', 0, 0, 0)
#     Time      Potential        Kinetic
         0     -13.496732      26.193736
         1     -12.900051      25.555292
         2      -5.815686      18.749122
         3      -7.130647      19.936696
         4     -12.064521      24.561635
         5      -8.105569      20.723445
         6      -5.484203      18.186675
         7     -10.358205      22.788815
         8      -9.296615      21.760619
         9      -3.448322      16.172557
        10      -6.589746      19.156029
        11      -9.280740      21.702279
        12      -2.976762      15.699628
        13      -1.473860      14.290949
        14      -5.782129      18.387349
        15      -2.239307      15.025486
        16       3.621113       9.467858
        17       1.070360      11.906514
        18       0.708500      12.273029
        19       7.099043       6.220833
        20       6.494975       6.808509
        21       1.608263      11.474140
        22       5.852757       7.445435
        23       9.555443       3.928030
        24       4.329829       8.893124
        25       3.343501       9.807283
        26       7.048989       6.258889
        27       3.188580       9.883658
        28      -2.380996      15.167205
        29       1.739042      11.209630
        30       2.402009      10.540999
        31      -4.531880      17.087867
        32      -5.372814      17.845602
        33      -1.764910      14.376247
        34      -6.556334      18.924300
        35     -10.272058      22.449076
        36      -5.840650      18.251776
        37      -5.190617      17.636074
        38     -10.699283      22.924780
        39      -7.313983      19.738266
        40      -2.346512      15.078745
        41      -6.470057      19.049861
        42      -8.263442      20.814737
        43      -2.096577      15.028327
        44      -2.031397      15.063103
        45      -6.645861      19.561811
        46      -3.171490      16.368690
        47      -0.529293      13.949443
        48      -7.143956      20.329261
        49      -9.363513      22.527385
# Cycle: 16, status: BTL, move: ('sh', 0.3807597451195464, 24, 0)
#     Time      Potential        Kinetic
         0       4.329829      22.449076
         1       3.738327      22.957154
         2       3.416456      23.224350
         3       5.440453      21.237549
         4       6.244181      20.438390
         5       5.797874      20.827362
         6       5.430123      21.150563
         7       4.518312      22.002800
         8       2.854341      23.578745
         9       2.363386      24.067659
        10       3.501670      22.992025
        11       2.653675      23.829024
        12       1.742726      24.677759
        13       0.723868      25.668770
        14       0.640176      25.725136
        15      -0.586250      26.942136
        16       1.121098      25.306562
        17       2.025802      24.468767
        18       2.003695      24.439919
        19       1.093757      25.273463
        20       2.286451      24.078753
        21       2.687902      23.669858
        22       2.784132      23.559308
        23       4.021434      22.348682
        24       3.892825      22.483979
        25       3.184707      23.124808
        26       2.091595      24.201667
        27       3.626695      22.728608
        28       2.509884      23.839209
        29       2.575254      23.746837
        30       3.072833      23.293484
        31       4.699761      21.721954
        32       4.644076      21.784534
        33       6.163161      20.321016
        34       7.349111      19.204767
        35       7.300170      19.242444
        36       6.855497      19.685176
        37       8.207571      18.421109
        38       8.372922      18.304657
        39       7.280130      19.377833
        40       6.612014      20.056152
        41       6.622486      20.050128
        42       4.750560      21.856054
        43       4.598794      21.984198
        44       5.620450      20.993314
        45       5.353560      21.208635
        46       4.160074      22.288202
        47       3.830991      22.553959
        48       3.388188      22.935400
        49       1.787874      24.440800
        50       1.238982      24.958290
        51       1.197880      25.003976
        52       0.149681      25.984853
        53      -1.437521      27.492983
        54      -0.870727      26.948369
        55       0.080999      26.030602
        56       0.219138      25.896703
        57       1.111581      25.073332
        58       3.898881      22.401648
        59       3.784810      22.560822
        60       4.837213      21.570245
        61       6.504006      20.042767
        62       7.282344      19.341219
        63       5.873941      20.753575
        64       6.596115      20.113442
        65       7.570540      19.258101
        66       7.163915      19.685165
        67       6.364932      20.478599
        68       6.651257      20.191887
        69       5.108131      21.647204
        70       3.868552      22.782840
        71       4.965065      21.692902
        72       5.707184      20.943366
        73       4.423488      22.100906
        74       3.249493      23.177115
        75       3.192067      23.190388
        76       1.268265      25.015302
        77      -0.012457      26.207838
        78      -0.410413      26.615434
        79       0.056523      26.132949
        80      -1.857738      27.978627
        81      -1.016067      27.153143
        82      -0.046641      26.241535
        83      -0.172027      26.357131
        84      -0.737111      26.928400
        85       1.323737      24.976487
        86       0.772911      25.569162
        87      -0.202239      26.525380
        88      -0.862455      27.230630
        89      -0.184872      26.626423
        90      -1.769653      28.208623
        91      -0.916512      27.396188
        92       1.110170      25.467485
        93       1.744861      24.816718
        94       1.809193      24.691848
        95       3.507041      23.049647
        96       4.923632      21.682023
        97       3.339401      23.217085
        98       2.893768      23.688725
        99       3.438664      23.228025
       100       2.309995      24.358723
# Cycle: 17, status: BWI, move: ('sh', 0.37498709660639673, 18, 0)
#     Time      Potential        Kinetic
         0       0.708500      22.449076
         1       4.607737      18.708867
         2       5.676273      17.705251
         3       7.388828      16.071518
         4       9.481241      14.084053
         5       9.238964      14.302327
         6       8.265525      15.212927
         7       9.588798      13.938852
         8      10.776154      12.781800
         9       9.400046      14.071135
        10       9.034288      14.373463
        11       8.922084      14.444191
        12       7.144463      16.083452
        13       5.255371      17.857204
        14       6.292116      16.820913
        15       5.972714      17.092760
        16       4.014360      18.895912
        17       3.013152      19.793717
        18       2.891188      19.859542
        19       1.152249      21.485099
        20       0.314670      22.264814
        21       1.664530      20.960506
# Cycle: 18, status: NCR, move: ('s-', 0.3218951906938009, 21, 13)
#     Time      Potential        Kinetic
         0       0.123124      11.337298
         1      -4.942398      16.329892
         2      -7.102572      18.578684
         3      -8.059538      19.615393
         4      -8.105369      19.589779
         5      -4.364882      15.869182
         6      -0.253147      11.869328
         7       0.855180      10.722149
