# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
# Cycle: 20, status: NCR, move: ('s+', 0, 0, 0)
#     Time       Orderp
         0     0.296010
         1     0.303261
         2     0.310692
         3     0.317213
         4     0.323732
         5     0.328360
         6     0.334576
         7     0.338647
         8     0.343383
         9     0.348095
        10     0.351822
        11     0.355948
        12     0.359799
        13     0.362941
        14     0.365846
        15     0.369360
        16     0.370573
        17     0.373978
        18     0.374987
        19     0.377161
        20     0.378091
        21     0.379955
        22     0.379671
        23     0.381714
        24     0.380760
        25     0.381860
        26     0.381003
        27     0.381012
        28     0.379424
        29     0.379081
        30     0.376701
        31     0.375642
        32     0.373400
        33     0.371428
        34     0.369226
        35     0.366740
        36     0.364214
        37     0.361209
        38     0.358587
        39     0.354646
        40     0.352033
        41     0.347119
        42     0.343577
        43     0.338039
        44     0.333141
        45     0.326189
        46     0.320855
        47     0.312194
        48     0.306088
        49     0.296957
# Cycle: 21, status: ACC, move: ('sh', 0.3207965293538972, 16, 12)
#     Time       Orderp
         0     0.299524
         1     0.304480
         2     0.308760
         3     0.312781
         4     0.315801
         5     0.318189
         6     0.319416
         7     0.320222
         8     0.320315
         9     0.319763
        10     0.319697
        11     0.320503
        12     0.320797
        13     0.322401
        14     0.324746
        15     0.326080
        16     0.328558
        17     0.329942
        18     0.329414
        19     0.329922
        20     0.328264
        21     0.327383
        22     0.326832
        23     0.326446
        24     0.325627
        25     0.326968
        26     0.325900
        27     0.327186
        28     0.326199
        29     0.326155
        30     0.324601
        31     0.323660
        32     0.320772
        33     0.319476
        34     0.315425
        35     0.311996
        36     0.308435
        37     0.304109
        38     0.300331
        39     0.297684
# Cycle: 22, status: ACC, move: ('s-', 0, 0, 0)
#     Time       Orderp
         0     0.298598
         1     0.301915
         2     0.304741
         3     0.307412
         4     0.310134
         5     0.312383
         6     0.314446
         7     0.317554
         8     0.319508
         9     0.323069
        10     0.325695
        11     0.328928
        12     0.331027
        13     0.334060
        14     0.334792
        15     0.337225
        16     0.337395
        17     0.338789
        18     0.338673
        19     0.339263
        20     0.338150
        21     0.338437
        22     0.336789
        23     0.336635
        24     0.335873
        25     0.335345
        26     0.334954
        27     0.334447
        28     0.333182
        29     0.331510
        30     0.329565
        31     0.326156
        32     0.324251
        33     0.320787
        34     0.318965
        35     0.316032
        36     0.314420
        37     0.310874
        38     0.308785
        39     0.304156
        40     0.300883
        41     0.295946
# Cycle: 23, status: ACC, move: ('sh', 0.32956522906211894, 30, 8)
#     Time       Orderp
         0     0.295510
         1     0.301207
         2     0.307407
         3     0.310474
         4     0.315483
         5     0.318512
         6     0.322306
         7     0.325878
         8     0.329565
         9     0.331836
        10     0.335513
        11     0.337227
        12     0.339271
        13     0.341622
        14     0.342770
        15     0.344293
        16     0.345893
        17     0.346418
        18     0.347116
        19     0.348260
        20     0.347204
        21     0.348000
        22     0.347047
        23     0.346015
        24     0.345101
        25     0.343899
        26     0.341300
        27     0.340506
        28     0.337233
        29     0.334655
        30     0.331999
        31     0.328104
        32     0.324516
        33     0.321403
        34     0.316683
        35     0.312758
        36     0.308249
        37     0.301630
        38     0.296382
# Cycle: 24, status: NCR, move: ('s+', 0.3883064094082419, 21, 20)
#     Time       Orderp
         0     0.292690
         1     0.300116
         2     0.308137
         3     0.316240
         4     0.323723
         5     0.331134
         6     0.337340
         7     0.343996
         8     0.348618
         9     0.353898
        10     0.358099
        11     0.361905
        12     0.365119
        13     0.369029
        14     0.371341
        15     0.375118
        16     0.377597
        17     0.380991
        18     0.383329
        19     0.386482
        20     0.388306
        21     0.391048
        22     0.392471
        23     0.394706
        24     0.395646
        25     0.397428
        26     0.397998
        27     0.399159
        28     0.399475
        29     0.400433
        30     0.399902
        31     0.401205
        32     0.400448
        33     0.401281
        34     0.401629
        35     0.402443
        36     0.402788
        37     0.404897
        38     0.405195
        39     0.406927
        40     0.407909
        41     0.408719
        42     0.408363
        43     0.408632
        44     0.406998
        45     0.406058
        46     0.404683
        47     0.402724
        48     0.402014
        49     0.400222
        50     0.399079
        51     0.397999
        52     0.396658
        53     0.394743
        54     0.393961
        55     0.391439
        56     0.390204
        57     0.388510
        58     0.386624
        59     0.385364
        60     0.383736
        61     0.382454
        62     0.380665
        63     0.379254
        64     0.377000
        65     0.374509
        66     0.371329
        67     0.368418
        68     0.363966
        69     0.360574
        70     0.356412
        71     0.351925
        72     0.347768
        73     0.343482
        74     0.337880
        75     0.333188
        76     0.327798
        77     0.321826
        78     0.317249
        79     0.312146
        80     0.307891
        81     0.303741
        82     0.299366
# Cycle: 25, status: NCR, move: ('s+', 0.3883064094082419, 21, 20)
#     Time       Orderp
         0     0.292690
         1     0.300116
         2     0.308137
         3     0.316240
         4     0.323723
         5     0.331134
         6     0.337340
         7     0.343996
         8     0.348618
         9     0.353898
        10     0.358099
        11     0.361905
        12     0.365119
        13     0.369029
        14     0.371341
        15     0.375118
        16     0.377597
        17     0.380991
        18     0.383329
        19     0.386482
        20     0.388306
        21     0.391048
        22     0.392471
        23     0.394706
        24     0.395646
        25     0.397428
        26     0.397998
        27     0.399159
        28     0.399475
        29     0.400433
        30     0.399902
        31     0.401205
        32     0.400448
        33     0.401281
        34     0.401629
        35     0.402443
        36     0.402788
        37     0.404897
        38     0.405195
        39     0.406927
        40     0.407909
        41     0.408719
        42     0.408363
        43     0.408632
        44     0.406998
        45     0.406058
        46     0.404683
        47     0.402724
        48     0.402014
        49     0.400222
        50     0.399079
        51     0.397999
        52     0.396658
        53     0.394743
        54     0.393961
        55     0.391439
        56     0.390204
        57     0.388510
        58     0.386624
        59     0.385364
        60     0.383736
        61     0.382454
        62     0.380665
        63     0.379254
        64     0.377000
        65     0.374509
        66     0.371329
        67     0.368418
        68     0.363966
        69     0.360574
        70     0.356412
        71     0.351925
        72     0.347768
        73     0.343482
        74     0.337880
        75     0.333188
        76     0.327798
        77     0.321826
        78     0.317249
        79     0.312146
        80     0.307891
        81     0.303741
        82     0.299366
# Cycle: 26, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.296382
         1     0.301630
         2     0.308249
         3     0.312758
         4     0.316683
         5     0.321403
         6     0.324516
         7     0.328104
         8     0.331999
         9     0.334655
        10     0.337233
        11     0.340506
        12     0.341300
        13     0.343899
        14     0.345101
        15     0.346015
        16     0.347047
        17     0.348000
        18     0.347204
        19     0.348260
        20     0.347116
        21     0.346418
        22     0.345893
        23     0.344293
        24     0.342770
        25     0.341622
        26     0.339271
        27     0.337227
        28     0.335513
        29     0.331836
        30     0.329565
        31     0.325878
        32     0.322306
        33     0.318512
        34     0.315483
        35     0.310474
        36     0.307407
        37     0.301207
        38     0.295510
# Cycle: 27, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.295510
         1     0.301207
         2     0.307407
         3     0.310474
         4     0.315483
         5     0.318512
         6     0.322306
         7     0.325878
         8     0.329565
         9     0.331836
        10     0.335513
        11     0.337227
        12     0.339271
        13     0.341622
        14     0.342770
        15     0.344293
        16     0.345893
        17     0.346418
        18     0.347116
        19     0.348260
        20     0.347204
        21     0.348000
        22     0.347047
        23     0.346015
        24     0.345101
        25     0.343899
        26     0.341300
        27     0.340506
        28     0.337233
        29     0.334655
        30     0.331999
        31     0.328104
        32     0.324516
        33     0.321403
        34     0.316683
        35     0.312758
        36     0.308249
        37     0.301630
        38     0.296382
# Cycle: 28, status: ACC, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.296382
         1     0.301630
         2     0.308249
         3     0.312758
         4     0.316683
         5     0.321403
         6     0.324516
         7     0.328104
         8     0.331999
         9     0.334655
        10     0.337233
        11     0.340506
        12     0.341300
        13     0.343899
        14     0.345101
        15     0.346015
        16     0.347047
        17     0.348000
        18     0.347204
        19     0.348260
        20     0.347116
        21     0.346418
        22     0.345893
        23     0.344293
        24     0.342770
        25     0.341622
        26     0.339271
        27     0.337227
        28     0.335513
        29     0.331836
        30     0.329565
        31     0.325878
        32     0.322306
        33     0.318512
        34     0.315483
        35     0.310474
        36     0.307407
        37     0.301207
        38     0.295510
# Cycle: 29, status: ACC, move: ('sh', 0.30824857082673257, 2, 3)
#     Time       Orderp
         0     0.298318
         1     0.302333
         2     0.304360
         3     0.308249
         4     0.310400
         5     0.312325
         6     0.315006
         7     0.316286
         8     0.317371
         9     0.319251
        10     0.319348
        11     0.319978
        12     0.320929
        13     0.320056
        14     0.320547
        15     0.320081
        16     0.319140
        17     0.318447
        18     0.317888
        19     0.315488
        20     0.315212
        21     0.312647
        22     0.310618
        23     0.308482
        24     0.305693
        25     0.302004
        26     0.299733
