# Cycle: 0, status: ACC, move: ('ki', 0, 0, 0)
#     Time       Orderp
        39     0.492223
        40     0.495853
        41     0.499886
        42     0.503657
# Cycle: 13, status: ACC, move: ('s-', 0.4524238565534298, 25, 33)
#     Time       Orderp
         0     0.294170
         1     0.300310
         2     0.307507
         3     0.314456
         4     0.322544
         5     0.329984
         6     0.337232
         7     0.343030
         8     0.348518
         9     0.353337
        10     0.358003
        11     0.362260
        12     0.366931
        13     0.371361
        14     0.376123
        15     0.380809
        16     0.385976
        17     0.390872
        18     0.395708
        19     0.400502
        20     0.405089
        21     0.409420
        22     0.413415
        23     0.417566
        24     0.421272
        25     0.424779
        26     0.428915
        27     0.432007
        28     0.436046
        29     0.439475
        30     0.442894
        31     0.446260
        32     0.449434
        33     0.452424
        34     0.454883
        35     0.458225
        36     0.460290
        37     0.463823
        38     0.466397
        39     0.470762
        40     0.473379
        41     0.478492
        42     0.481625
        43     0.486538
        44     0.489876
        45     0.494546
        46     0.497815
        47     0.501470
# Cycle: 14, status: ACC, move: ('sh', 0.42127168567600876, 24, 26)
#     Time       Orderp
         0     0.296847
         1     0.303219
         2     0.309532
         3     0.315205
         4     0.321511
         5     0.327343
         6     0.333626
         7     0.339692
         8     0.346154
         9     0.352256
        10     0.358436
        11     0.364214
        12     0.369195
        13     0.374672
        14     0.378370
        15     0.383193
        16     0.386457
        17     0.390393
        18     0.393131
        19     0.396516
        20     0.398935
        21     0.402267
        22     0.405115
        23     0.409190
        24     0.413004
        25     0.417169
        26     0.421272
        27     0.425079
        28     0.428832
        29     0.431455
        30     0.434798
        31     0.436299
        32     0.438168
        33     0.438925
        34     0.439944
        35     0.440394
        36     0.441305
        37     0.442901
        38     0.444522
        39     0.446922
        40     0.450397
        41     0.453819
        42     0.458038
        43     0.462884
        44     0.467534
        45     0.472564
        46     0.477014
        47     0.482201
        48     0.485710
        49     0.490134
        50     0.493690
        51     0.497118
        52     0.499956
        53     0.503712
# Cycle: 15, status: BWI, move: ('tr', 0, 0, 0)
#     Time       Orderp
         0     0.503712
         1     0.499956
         2     0.497118
         3     0.493690
         4     0.490134
         5     0.485710
         6     0.482201
         7     0.477014
         8     0.472564
         9     0.467534
        10     0.462884
        11     0.458038
        12     0.453819
        13     0.450397
        14     0.446922
        15     0.444522
        16     0.442901
        17     0.441305
        18     0.440394
        19     0.439944
        20     0.438925
        21     0.438168
        22     0.436299
        23     0.434798
        24     0.431455
        25     0.428832
        26     0.425079
        27     0.421272
        28     0.417169
        29     0.413004
        30     0.409190
        31     0.405115
        32     0.402267
        33     0.398935
        34     0.396516
        35     0.393131
        36     0.390393
        37     0.386457
        38     0.383193
        39     0.378370
        40     0.374672
        41     0.369195
        42     0.364214
        43     0.358436
        44     0.352256
        45     0.346154
        46     0.339692
        47     0.333626
        48     0.327343
        49     0.321511
        50     0.315205
        51     0.309532
        52     0.303219
        53     0.296847
# Cycle: 16, status: BTL, move: ('sh', 0.39313090833717707, 18, 0)
#     Time       Orderp
